id,layer,path,section,lines,fields,verdict,binds,reader_lines,reader_number,reader_standard,reader_about,reader_note
00010,or/clackamas/happy-valley,or/clackamas/happy-valley/16.12.definitions.txt,16.12.030,"L123,L1571,L1579,L1725",max_height_ft,agree,no,,,,"definitions and siting standards for wireless communication facilities and antenna support structures (towers, small wireless facilities) in Happy Valley","Every marked line concerns antenna/wireless-facility height (existing structures used as antenna supports, tower modifications) — a different use entirely from our residential building, which includes no telecom infrastructure."
00011,or/clackamas/milwaukie,or/clackamas/milwaukie/19.300.base-zones.txt,19.303.4,"L1132,L1148,L1154,L1160",max_height_ft,agree,no,,,,"a step-back requirement for buildings exceeding the base maximum height in Milwaukie's General Mixed Use (GMU) zone, plus optional height bonuses for residential use, green-building certification, and other incentives","L1132's step-back only applies to ""any street-facing portion of the building above the base maximum height"" — a mixed-use zone's base height ceiling is well above our fixed ~26 ft, two-story design — and L1148/L1154/L1160 are elective incentive bonuses (""permitted,"" not required)."
00012,or/clackamas/milwaukie,or/clackamas/milwaukie/19.500.supplementary.txt,19.505.4,"L1614,L1615,L1650,L2004","max_height_ft,setback_garage_entrance_ft",agree,no,,,,"development standards (home size, height, setbacks, garage door width) specific to Cottage Cluster housing in Milwaukie","Table 19.505.4.C.1 is titled ""Cottage Cluster Development Standards"" and section 19.505.4 is ""Cottage Cluster Housing"" — our building is explicitly not a cottage cluster."
00013,or/clackamas/milwaukie,or/clackamas/milwaukie/19.500.supplementary.txt,19.505.7,"L2474,L2667,L2671,L2675",max_height_ft,agree,no,,,,"an optional corner architectural treatment feature and conditional height allowances for roof-mounted equipment (small equipment exemption, elevator equipment, satellite dishes/mechanical equipment) in Milwaukie","L2667/L2671/L2675 are allowances letting rooftop equipment exceed the height limit only if such equipment is installed (""may extend,"" limits on equipment that may or may not exist), mirroring the height-exception pattern seen elsewhere in this batch; L2474 offers a corner treatment ""such as"" one example among options, not a stated requirement on the building itself."
00014,or/multnomah/_unincorporated,or/multnomah/_unincorporated/33.110.txt,33.110.275,"L2030,L2039,L2059,L2061","setback_front_ft,setback_rear_ft",agree,no,,,,"fence height standards by yard location for single-dwelling zones in unincorporated Multnomah County, alongside an unrelated table of institutional-development site standards (building coverage, landscaping, buffering)","The section is titled ""Fences,"" an explicitly excluded category; Table 110-9's content in the same passage is scoped to ""Institutional Development,"" a use our building is not."
00015,or/multnomah/_unincorporated,or/multnomah/_unincorporated/33.140.txt,33.140.210,"L559,L562,L566,L569",max_height_ft,agree,no,,,,"height-limit exceptions allowing rooftop projections — chimneys, flagpoles, satellite dishes, parapets, elevator/mechanical equipment — to exceed the district height limit, in unincorporated Multnomah County","Every marked line is a permissive allowance (""may rise,"" ""may extend"") for optional rooftop features exceeding the base height limit, not a standard our building must meet — matches the brief's ""permitted projection ... nothing has to be satisfied"" case."
00016,or/multnomah/fairview,or/multnomah/fairview/19.30.txt,19.30.080,"L829,L885,L891,L893","max_height_ft,setback_side_ft",agree,no,,,,standards for detached accessory dwellings (cottages) and other accessory structures — height and setback limits based on distance from the property line — in Fairview,"L829 governs ""detached accessory dwellings,"" and L885/L891/L893 govern ""accessory structures"" — both explicitly excluded categories from our brief; none of the marked lines address the primary dwelling."
00017,or/multnomah/gresham,or/multnomah/gresham/4.1400.pleasant-valley.txt,4.14,"L910,L915,L918,L939",max_height_ft,agree,no,,,,"height limits for optional roof-mounted and ground-mounted solar and wind energy systems, plus general building and outdoor-facility setbacks, in Gresham's Pleasant Valley plan districts","The marked lines all fall under ""RENEWABLE ENERGY STANDARDS ... Solar energy systems are limited ... as follows,"" governing voluntarily-installed accessory equipment, not a standard the building itself must meet."
00018,or/multnomah/portland,or/multnomah/portland/33.140.txt,33.140.210,"L559,L562,L566,L569",max_height_ft,agree,no,,,,"height-limit exceptions allowing rooftop projections — chimneys, flagpoles, satellite dishes, parapets, elevator/mechanical equipment — to exceed the district height limit, in Portland (identical text to unincorporated Multnomah's 33.140.210)","Every marked line is a permissive allowance (""may rise,"" ""may extend"") for optional rooftop features, not a standard our building must meet."
00019,or/clackamas/milwaukie,or/clackamas/milwaukie/19.300.base-zones.txt,19.301.5,"L305,L309,L320",max_coverage_pct,agree,no,,,,"a lot-coverage bonus (+10 or +5 percentage points) for single detached dwellings, most middle housing types, and accessory dwelling units, for portions of structures 20 ft tall or less, in Milwaukie","L309 explicitly carves out ""except for townhouses and cottage clusters"" from the middle-housing lot-coverage bonus — our four-unit, townhouse-style building is expressly excluded; L305 and L320 apply to single-detached dwellings and ADUs, different building types, and all three are elective bonuses rather than requirements."
00020,or/clackamas/oregon-city,or/clackamas/oregon-city/17.zoning.txt,17.54.100,"L15625,L15639,L15677",max_height_ft,agree,no,,,,"fence, hedge, wall, and retaining wall height standards by location, in Oregon City","The section is titled ""Fences, hedges, walls, and retaining walls"" — an explicitly excluded category; none of the marked lines govern the dwelling itself."
00021,or/clackamas/west-linn,or/clackamas/west-linn/41.steep-lots.txt,41.020,"L61,L63,L69",max_height_ft,agree,no,,,,"a height exception for buildings on steep lots (grade differential greater than 10 ft) in West Linn, allowing greater total building height when measured from the downhill grade point","This is a permissive exception (""may exceed the building height standard, provided ..."") available to buildings wanting to build taller than the base limit on a steep lot; our fixed ~26 ft, two-story building doesn't need or trigger it."
00022,or/clackamas/wilsonville,or/clackamas/wilsonville/4.planning.txt,4.176,"L15460,L15475,L15481",max_height_ft,agree,no,,,,"street tree species and minimum planting-height standards (evergreen trees at least 12 ft, species lists by mature height) for public street-frontage plantings, in Wilsonville","This falls under ""D. Street Trees,"" governing plantings in the public right-of-way frontage improvement (""the Development Review Board may require a mix of street trees throughout a development"") — a public improvement, not a standard on the building itself."
00023,or/multnomah/fairview,or/multnomah/fairview/19.65.txt,19.65.090,"L408,L617,L620","max_height_ft,open_space_min_pct",seen_elsewhere,yes,L408,10,minimum ground floor height for residential use,"base design requirements for Fairview's storefront/design-standard districts, giving required and optional (point-scored) ground-floor height, glazing, and landscaping standards","""For ground floor area associated with a residential use, the height is 10 feet"" (L408), listed as ""Required"" (R1) in Table 19.65.090(B)(1) for both the Storefront District and elsewhere — this directly applies to our residential ground floor. L617 and L620 are optional point-menu items (""may be landscaped,"" an ""Additional"" height option worth points), not required."
00024,or/multnomah/fairview,or/multnomah/fairview/19.85.txt,19.85.070,"L187,L191,L193","max_coverage_pct,max_height_ft",agree,no,,,,lot coverage and building height standards for uses along the Columbia River north of Marine Drive in the General Industrial District,"""The maximum allowable lot coverage in the general industrial district is 90 percent"" and the 60/70-foot height standards govern the General Industrial District; a residential-only fourplex is not a use this section's district accommodates."
00025,or/multnomah/gresham,or/multnomah/gresham/10.1700.affordable.txt,10.1711,"L136,L137,L138",max_units,agree,no,,,,an affordable-housing density and height bonus table,"Table 10.1711(B) grants extra 'DENSITY BONUS' and 'HEIGHT BONUS' only to a project that provides affordable units. It is an optional bonus a developer may choose to pursue, not a number the building must satisfy."
00026,or/multnomah/gresham,or/multnomah/gresham/3.0100.definitions.txt,3.0150,"L2500,L2502,L2510","max_height_ft,min_lot_sqft",agree,no,,,,"definitions of tree-related terms (clear cutting, crown cover, diameter breast height) used elsewhere in the tree code","""The following definitions apply to Tree-related applications"" — this is a definitions section stating what terms mean, not an operative standard the building must meet."
00027,or/multnomah/gresham,or/multnomah/gresham/4.0100.residential.txt,4.0140,"L631,L636,L639",max_height_ft,agree,no,,,,height limits for optional roof-mounted and ground-mounted solar energy systems in residential districts,"""Ground-mounted. Systems shall not exceed 6 feet in height"" and the roof-mounted limits apply only if a solar energy system is installed. The fourplex is not required to have one, so nothing here must be satisfied."
00028,or/multnomah/gresham,or/multnomah/gresham/4.1500.springwater.txt,4.1595,"L1050,L1055,L1058",max_height_ft,agree,no,,,,height limits for optional roof-mounted and ground-mounted solar energy systems in the Springwater plan district,"""Ground-mounted solar energy systems shall not exceed 20 feet in height"" only applies if the building owner chooses to install a solar system; it is not a standard the fourplex itself must meet."
00029,or/multnomah/portland,or/multnomah/portland/33.110.txt,33.110.275,"L2039,L2059,L2061","setback_front_ft,setback_rear_ft",agree,no,,,,fence height limits within required setbacks in single-dwelling zones,"""Fences up to 8 feet high are allowed in required side or rear building setbacks"" governs an accessory fence, which the instructions treat as its own excluded category — it says nothing about the dwelling itself."
00030,or/multnomah/portland,or/multnomah/portland/33.910.definitions.txt,33.910,"L402,L664,L666",max_height_ft,agree,no,,,,definitions of ceiling-height exclusions and 'Living Area' used to calculate floor area,"""Living Area. The total gross building area of a residential structure excluding the following..."" is a definitions section, not an operative standard."
00031,or/multnomah/wood-village,or/multnomah/wood-village/230.335.txt,230.335,"L60,L66,L72",max_height_ft,worth_reading,yes,L60,18,minimum building height,"minimum and step-down maximum building heights for new buildings on Halsey Street, including transitions near residential zones","""There is a minimum height of eighteen (18) feet or one and one-half (1.5) stories for all new buildings on Halsey Street"" applies to all new buildings with no stated use exception, so a new fourplex here would have to meet it (our 26-foot, two-storey design clears it easily). The step-down maximums at L66/L72 (35-45 ft) only bind if the lot is near a residential zone, which the passage doesn't establish here."
00032,or/clackamas/gladstone,or/clackamas/gladstone/17.10.r-7.2.txt,17.10.055,"L243,L247","setback_front_ft,setback_rear_ft",agree,no,,,,setback standards for cottage cluster development,"""Cottage clusters shall meet the minimum setback standards"" — the section heading and text are scoped explicitly to cottage clusters, a housing type distinct from a four-unit attached building on one lot."
00033,or/clackamas/gladstone,or/clackamas/gladstone/17.12.r-5.txt,17.12.055,"L248,L252","setback_front_ft,setback_rear_ft",agree,no,,,,setback standards for cottage cluster development,"""Cottage clusters shall meet the minimum setback standards"" — same cottage-cluster-only scoping as 17.10.055; not our building type."
00034,or/clackamas/milwaukie,or/clackamas/milwaukie/19.300.base-zones.txt,19.312.7,"L4157,L4278",max_height_ft,worth_reading,yes,L4278,14,minimum ground-floor height,"design standards for the ground floor of buildings in the MUTSA and on NME Key Streets, including a street-wall-area definition and a minimum ground-floor height","""The ground-floor height must be at least 14 ft, as measured from the finished floor to the ceiling..."" is stated for 'All Uses' in the MUTSA / NME Key Streets area; a fourplex built on a lot inside that mapped area would have to meet it. L4157's 15-foot street-wall-area definition is a related measurement rule for the same mapped standards."
00035,or/clackamas/oregon-city,or/clackamas/oregon-city/17.zoning.txt,17.12.040,"L4598,L4607","setback_front_max_ft,setback_rear_ft",seen_elsewhere,yes,L4607,10,minimum rear yard setback,"dimensional standards table for the R-2 zone, which lists quadplex as a permitted use with its own minimum lot size, alongside general setback and coverage standards","""Minimum rear yard setback 10 feet"" is listed under 'All, except' with quadplex not named as an exception, so it applies to our building. L4598's 'Maximum front yard setback 20 feet' is the same kind of general standard and also binds."
00036,or/clackamas/tualatin,or/clackamas/tualatin/36.400-420.lot-dimensions.txt,36.420,"L96,L99","max_coverage_pct,min_lot_width_ft",agree,no,,,,"minimum size, width, coverage, and spacing standards for creating a 'small lot' within a subdivision","""(2) Minimum Lot Size and Location. The small lot must:..."" reads as a land-division standard for a specific small-lot configuration (with cul-de-sac frontage tests), not a general zone development standard shown to cover a four-unit attached building."
00037,or/clackamas/wilsonville,or/clackamas/wilsonville/4.planning.txt,4.163,"L4335,L4336","min_lot_sqft,setback_rear_ft",agree,no,,,,minimum lot size and setback standards for the FDA-H Future Development Agricultural-Holding Zone,The zone name itself — 'Future Development Agricultural—Holding Zone' — signals a holding designation pending future planning; nothing here suggests a four-unit residential building is a use this district accommodates.
00038,or/multnomah/_unincorporated,or/multnomah/_unincorporated/33.110.txt,33.110.270,"L554,L595",max_height_ft,agree,no,,,,"exceptions to the maximum height and alternative height limits for steeply sloping lots, within the Institutional Development Standards","Both marked lines sit inside 33.110.270, 'Institutional Development Standards,' which governs institutional uses (schools, churches, and similar), not a residential building."
00039,or/multnomah/_unincorporated,or/multnomah/_unincorporated/33.110.txt,33.815.040,"L1978,L1979",max_height_ft,agree,no,,,,"site area, FAR, height and setback standards for institutional uses in Table 110-9","Table 110-9, 'Institutional Development Standards,' governs institutional uses; a residential fourplex is a different use category entirely."
00040,or/multnomah/fairview,or/multnomah/fairview/19.110.txt,19.110.035,"L49,L57",max_height_ft,agree,no,,,,"sign dimension standards (area, height, width, base) for Fairview Village","""Maximum face area of 75 square feet"" and ""Height shall be a maximum of 12 feet"" govern a sign structure, an excluded category, not the dwelling."
00041,or/multnomah/fairview,or/multnomah/fairview/19.163.txt,19.163.050,"L237,L247",max_height_ft,agree,no,,,,"fence height limits for recreational courts, swimming pools, and electric fences","""A wire fence not to exceed 12 feet in height"" and the swimming-pool/electric-fence limits are accessory fence standards, not a standard the building itself must satisfy."
00042,or/multnomah/fairview,or/multnomah/fairview/19.80.txt,19.80.030,"L88,L90","setback_rear_ft,setback_side_ft",agree,no,,,,rear and side setback standards in the Light Industrial District,"""There is no required rear setback, except that buildings shall be setback from the residential district by a minimum of 20 feet"" governs the Light Industrial District's use table (industrial/commercial uses), where a residential-only fourplex is not listed as a use."
00043,or/multnomah/gresham,or/multnomah/gresham/4.0100.residential.txt,4.0114,"L95,L96",max_units,agree,no,,,,"purpose/intent statement for the MDR-12 district describing maximum net densities for single detached dwellings, manufactured dwelling parks, and townhouses","""...single detached dwellings of 12.1 units per acre, manufactured dwelling parks at a maximum net density of 8.71 units per acre, and townhouses at a maximum net density of 25 units per acre"" names three specific housing types; a four-unit building on one lot is a quadplex/multifamily building, a different category than any of the three named here."
00044,or/multnomah/gresham,or/multnomah/gresham/4.0100.residential.txt,4.0141,"L666,L669",max_height_ft,agree,no,,,,height limits for optional roof-mounted wind energy systems in residential districts,"""Wind energy systems shall not exceed the district height limit... and shall not exceed 10 feet above the height of the roof"" applies only if a wind energy system is installed; it is not required equipment."
00045,or/multnomah/gresham,or/multnomah/gresham/4.0200.commercial.txt,4.0232,"L218,L221",max_height_ft,agree,no,,,,"height limits for optional solar energy systems in Commercial Districts, in a section adjoining (but distinct from) commercial building-height and outdoor-activity standards","The marked lines — ""frames shall not exceed 10 feet above the roof height"" and ""Ground-mounted solar energy systems shall not exceed 20 feet in height"" — are optional solar-equipment standards scoped to section 4.0232, Solar Energy Standards for Commercial Districts; nothing marked here is a standard the residential fourplex itself must meet."
00046,or/multnomah/gresham,or/multnomah/gresham/4.0400.corridor.txt,4.0442,"L667,L670",max_height_ft,agree,no,,,,height limits for optional solar energy systems in Corridor Districts,"""Ground-mounted solar energy systems shall not exceed 20 feet in height"" applies only if a solar system is installed; it is optional equipment, not a required building standard."
00047,or/multnomah/gresham,or/multnomah/gresham/4.1500.springwater.txt,4.1596,"L1096,L1107",max_height_ft,agree,no,,,,height limits for optional roof-mounted and ground-mounted wind energy systems in the Springwater plan district,"""Ground-mounted wind energy systems shall not exceed 110 feet in height"" applies only if a wind energy system is installed; it is optional equipment, not a required building standard."
00048,or/multnomah/portland,or/multnomah/portland/33.110.txt,33.110.270,"L554,L595",max_height_ft,agree,no,,,,"institutional development standards for schools, religious institutions, hospitals and similar institutional uses -- height exceptions and alternative height limits for steeply sloping lots","The headings state ""33.110.270, Institutional Development Standards"" and Table 110-4 is 'for institutional uses'; both marked lines (L554 rooftop-equipment height exception, L595 sloped-lot height alternative) are exceptions inside that institutional standards chapter, which does not govern a residential fourplex."
00049,or/multnomah/portland,or/multnomah/portland/33.110.txt,33.815.040,"L1978,L1979",max_height_ft,agree,no,,,,"institutional development standards table (minimum site area, FAR, height, setbacks) for institutional uses","Passage is Table 110-9, ""Institutional Development Standards[1]"", with L1978 maximum height (50 ft) and L1979 minimum building setbacks stated for institutional development -- a different use than our residential building."
00050,or/multnomah/portland,or/multnomah/portland/33.120.txt,33.120.255,"L1649,L1654",max_units,seen_elsewhere,yes,L1654,3,minimum pedestrian circulation system width,"minimum width of the on-site pedestrian circulation system, scaled to the number of dwelling units it serves","L1654: ""Segments of the circulation system that connect only to an entrance providing access to up to 4 units may be 3 feet wide"" -- exactly our 4-unit building. The unmarked L1647-48 sets the same 3-foot minimum for ""sites with up to 4 residential units."""
00051,or/multnomah/portland,or/multnomah/portland/33.120.txt,33.120.270,"L1718,L1762","max_height_ft,setback_side_ft",agree,no,,,,"reduced side setbacks for detached houses created by a land division, and a height limit tied to a detached accessory structure","L1718's reduced setback applies only to ""detached houses"" from a land division, and L1762's 25-foot height limit sits in the same subsection as a ""detached accessory structure"" (L1760-61); neither applies to an attached four-unit building."
00052,or/multnomah/portland,or/multnomah/portland/33.130.txt,33.130.210,"L731,L733",max_height_ft,agree,no,,,,"optional floor-area-ratio and height bonuses (inclusionary housing, affordable commercial space, planned development) above the base zone maximums","Table 130-3 is ""Summary of Bonus FAR and Height"" -- every marked row (L731, L733) is an elective increment ""per bonus"" a developer may choose to pursue; nothing here must be satisfied."
00053,or/multnomah/troutdale,or/multnomah/troutdale/8.development-standards.txt,8.060,"L326,L336",max_height_ft,worth_reading,yes,L326,7,minimum tree height at planting,"minimum size of trees and shrubs planted as required landscaping, including hedges used to screen and buffer off-street parking from adjoining properties","L326: ""Trees shall be a minimum of seven (7) feet in overall height or one and one half (1 1/2) inches in caliper immediately after planting."" Our building has off-street parking that L336 ties a screening/buffering hedge requirement to, so these planting-size minimums would apply to the lot's required landscaping."
00054,or/multnomah/troutdale,or/multnomah/troutdale/8.development-standards.txt,8.160,"L1231,L1253","max_height_ft,min_frontage_ft",agree,no,,,,"manufactured home park minimum street frontage, park depth, and perimeter screening standards","Section 8.160 is titled ""Manufactured Home Parks,"" a use type our four-unit attached building is not."
00055,or/clackamas/_unincorporated,or/clackamas/_unincorporated/zdo.1012.txt,1012.07,L210,min_lot_sqft,agree,no,,,,"optional density bonus for affordable housing and mixed-use development, plus the footnote formula for computing the ""base density"" used in that bonus calculation","Table 1012-1 is ""Bonus Density,"" an elective increase; L210 is footnote 2 explaining how base density is computed (gross site area / 43,560 sq ft per unit) solely to size the bonus, not a standard applied directly to our building."
00056,or/clackamas/gladstone,or/clackamas/gladstone/17.10.r-7.2.txt,17.10.060,L293,max_height_ft,worth_reading,yes,L293,3,minimum roof pitch,"residential design standards in the R-7.2 zone: recessed garage entrance, roof pitch, and garage/carport requirement","L293: ""Roof pitch of not less than three feet in height for each 12 feet in width"" (a 3:12 minimum pitch). The section is titled plainly ""Design standards"" (unlike the next section, which is explicitly limited to cottage clusters), reading as the zone's general residential design standard, which would include a middle-housing fourplex."
00057,or/clackamas/gladstone,or/clackamas/gladstone/17.10.r-7.2.txt,17.10.065,L381,setback_garage_entrance_ft,agree,no,,,,cottage cluster design standards (detached garage floor area and garage door width limits),"Section title is ""17.10.065 Cottage cluster design standards"" -- our building is a four-unit attached townhome, not a cottage cluster."
00058,or/clackamas/gladstone,or/clackamas/gladstone/17.12.r-5.txt,17.12.060,L298,max_height_ft,worth_reading,yes,L298,3,minimum roof pitch,"residential design standards in the R-5 zone: recessed garage entrance, roof pitch, and garage/carport requirement","Same pattern as the R-7.2 zone's 17.10.060: L298 sets a minimum 3-foot-rise-per-12-foot roof pitch under a generically titled ""Design standards"" section, distinct from the cottage-cluster-only section immediately after it."
00059,or/clackamas/gladstone,or/clackamas/gladstone/17.12.r-5.txt,17.12.065,L388,setback_garage_entrance_ft,agree,no,,,,cottage cluster design standards (detached garage floor area and garage door width limits),"Section title is ""17.12.065 Cottage cluster design standards"" -- not our building type."
00060,or/clackamas/milwaukie,or/clackamas/milwaukie/19.200.definitions.txt,19.202.3,L1085,max_height_ft,agree,no,,,,definition of how existing tree diameter (DBH) is measured for tree-preservation purposes,"This is a measurement-methodology definition (""Existing trees are measured at a height 4.5 ft above the mean ground level...""), not a standard our building must satisfy."
00061,or/clackamas/milwaukie,or/clackamas/milwaukie/19.300.base-zones.txt,19.600,L3976,setback_front_max_ft,unclear,unclear,,,,"dimensional development standards (lot size, frontage, FAR, front setback) for the North Milwaukie Innovation Area base zone's MUTSA and NME subareas","L3976 sets a maximum front yard setback (10 ft in MUTSA, 30 ft on NME key streets), but the passage never states whether a stand-alone residential fourplex is even a permitted use in this ""Innovation Area"" zone -- the visible table gives only dimensional standards, not a use list, so applicability can't be told from this page."
00062,or/clackamas/milwaukie,or/clackamas/milwaukie/19.400.overlays.txt,19.402.4,L717,max_height_ft,agree,no,,,,exemption from process review for trimming plants/vegetation adjacent to trails,"L717 sets a trim-clearance limit (8 ft height, 6 ft width) for an exempt maintenance activity -- vegetation trimming near trails -- unrelated to constructing our building."
00063,or/clackamas/milwaukie,or/clackamas/milwaukie/19.400.overlays.txt,19.404.6,L2943,setback_front_max_ft,agree,no,,,,"development standards, including a maximum front yard setback, within the Flex Space Overlay Zone, whose listed uses are industrial services, manufacturing, trade schools, and their accessory uses","Table 19.404.4 lists only industrial/flex-space use categories with no residential category, so L2943's maximum front yard setback governs flex-space development, not a residential-only fourplex."
00064,or/clackamas/milwaukie,or/clackamas/milwaukie/19.500.supplementary.txt,19.501.1,L29,min_lot_sqft,agree,no,,,,"minimum lot size for single detached dwellings created after June 3, 2022","L29 states the standard applies to ""Single detached dwellings"" specifically -- not an attached four-unit building."
