id,doc,line,mark,ruled_in,reason,zones,fields,values_governed,verdict,reaches,direction,confidence,reader_note,reader_zones,alarming
00010,or/clackamas/_unincorporated/zdo.315.txt,1050,2,or/clackamas/_unincorporated,"one of the five sets of criteria on Table 315-1's LIMITED USE column. The Quadplexes row reads ""P7,8"" in every district this layer holds -- a primary use, not a limited one -- so none of them reaches this building. They are governed here because the permission is quoted from lines this block's region covers, which is the region rule being conservative rather than a claim that the note is about a quadplex","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,inferred,Governs a secondary use accompanying a primary use; our pod is the primary residential use standing alone.,,False
00011,or/clackamas/_unincorporated/zdo.315.txt,1052,3,or/clackamas/_unincorporated,"one of the five sets of criteria on Table 315-1's LIMITED USE column. The Quadplexes row reads ""P7,8"" in every district this layer holds -- a primary use, not a limited one -- so none of them reaches this building. They are governed here because the permission is quoted from lines this block's region covers, which is the region rule being conservative rather than a claim that the note is about a quadplex","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,"Limited (commercial) use criteria, not a dwelling standard.",,False
00012,or/clackamas/_unincorporated/zdo.315.txt,1058,4,or/clackamas/_unincorporated,"one of the five sets of criteria on Table 315-1's LIMITED USE column. The Quadplexes row reads ""P7,8"" in every district this layer holds -- a primary use, not a limited one -- so none of them reaches this building. They are governed here because the permission is quoted from lines this block's region covers, which is the region rule being conservative rather than a claim that the note is about a quadplex","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,"Criteria for a limited commercial use in a Design Plan area, not for our residential building.",,False
00013,or/clackamas/_unincorporated/zdo.315.txt,1072,5,or/clackamas/_unincorporated,"one of the five sets of criteria on Table 315-1's LIMITED USE column. The Quadplexes row reads ""P7,8"" in every district this layer holds -- a primary use, not a limited one -- so none of them reaches this building. They are governed here because the permission is quoted from lines this block's region covers, which is the region rule being conservative rather than a claim that the note is about a quadplex","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,inferred,A floor-area cap on limited and conditional non-residential uses accompanying a primary use.,,False
00014,or/clackamas/_unincorporated/zdo.315.txt,1074,6,or/clackamas/_unincorporated,"note 6 lets a dwelling type the district does NOT permit in anyway, if it is built as affordable housing under Section 846. A door into a zone rather than a condition on one, and a quadplex is already permitted outright in all nine districts, so the door is one this building has no need of. Looser in every direction","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,disagree,reaches,looser,inferred,"It opens an extra permission path for a dwelling type - our quadplex included - in zones that otherwise bar it, conditioned on affordable housing, so it reaches us but only relaxes.",,False
00015,or/clackamas/_unincorporated/zdo.315.txt,1076,7,or/clackamas/_unincorporated,"note 7 IS on the Quadplexes cell, and it is the one-primary-building rule: apart from an accessory dwelling unit or a temporary permit, a lot of record may hold only ONE of cottage cluster, detached single-family dwelling, duplex, manufactured home, prefabricated structure, quadplex, single room occupancy, townhouse or triplex. It bars combining types, not building one. This screen places a single quadplex as the development of the lot, which is exactly one of the listed types, so the rule is satisfied by the thing being screened. What it would refuse is a quadplex ADDED beside a dwelling that stays -- a redevelopment question about what is already standing, which is not a dimensional standard and is not what this layer decides","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,disagree,reaches,stricter,clear,"It names quadplex and townhouse and allows only one such dwelling development per lot of record, so an existing dwelling on the lot bars our pod - a prohibition no dimensional value records.",,True
00016,or/clackamas/_unincorporated/zdo.315.txt,1078,8,or/clackamas/_unincorporated,"note 8 is the other one on the Quadplexes cell, and it is where this layer's whole design regime comes from: a quadplex here is subject to Section 845. Section 845.01 is the source of the encoded 7,000 square foot minimum lot size -- not Table 315-2, which sends lot size elsewhere -- and 845.02's window, entry orientation and garage standards are read there. The note is a pointer to a document this layer holds and reads, which is the only reason it can be called read","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,disagree,reaches,neither,clear,"Names quadplex and townhouse and routes them to Section 845 for further standards; it moves no number itself, but the section it points at governs our building.",,False
00017,or/clackamas/_unincorporated/zdo.315.txt,1080,9,or/clackamas/_unincorporated,"note 9 makes a manufactured dwelling park a primary use where it also qualifies as a cottage cluster, and a conditional use otherwise. Another use entirely","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,"Manufactured dwelling parks and cottage clusters, neither of which we build.",,False
00018,or/clackamas/_unincorporated/zdo.315.txt,1082,10,or/clackamas/_unincorporated,note 10 is note 9 with prohibition in place of conditional use in the remaining districts. Another use entirely,"['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,"Manufactured dwelling parks and cottage clusters, neither of which we build.",,False
00019,or/clackamas/_unincorporated/zdo.315.txt,1084,11,or/clackamas/_unincorporated,"note 11 caps a single room occupancy at six units. a condition on a use this screen does not place. It governs here only because the quadplex permission is quoted from a line in this block's region, and the Quadplexes cell carries notes 7 and 8 and nothing else","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,Single room occupancy is a different dwelling type.,,False
00020,or/clackamas/_unincorporated/zdo.315.txt,1086,12,or/clackamas/_unincorporated,"note 12 sets a townhouse minimum lot size of 3,630 square feet in MR-1 and 2,420 in MR-2. A different housing type in two districts this layer does not hold","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,narrower,some_zones,stricter,inferred,"It sets a townhouse minimum lot size in MR-1 and MR-2 and waives it only when new lots are platted for townhouses, which we do not do; those districts sit outside the governed list, so it reaches only where MR-1 or MR-2 is screened.","MR1,MR2",True
00021,or/clackamas/_unincorporated/zdo.315.txt,1088,13,or/clackamas/_unincorporated,"note 13 permits indoor facilities only. a condition on a use this screen does not place. It governs here only because the quadplex permission is quoted from a line in this block's region, and the Quadplexes cell carries notes 7 and 8 and nothing else","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,inferred,Attaches to a facility use row; nothing in its words touches a dwelling.,,False
00022,or/clackamas/_unincorporated/zdo.315.txt,1090,14,or/clackamas/_unincorporated,"note 14 lets the county authorise a similar use under Section 106. A procedure for a use not listed, and a quadplex is listed","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,inferred,An approval procedure for unlisted similar uses; a quadplex is itself a listed use.,,False
00023,or/clackamas/_unincorporated/zdo.315.txt,1092,15,or/clackamas/_unincorporated,"note 15 allows a use to be run as a home occupation under Section 822. An occupancy question about what happens inside a dwelling, not a standard the building is measured against","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,Home occupations are a different use.,,False
00024,or/clackamas/_unincorporated/zdo.315.txt,1094,16,or/clackamas/_unincorporated,"note 16 caps hotels in the SHD District at 80 units per gross acre. Another use, and a district this layer does not hold","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,"Hotels, in a district we are not in.",,False
00025,or/clackamas/_unincorporated/zdo.315.txt,1096,17,or/clackamas/_unincorporated,"note 17 permits an accessory kitchen only in a townhouse, detached single-family dwelling, manufactured home or prefabricated structure. A quadplex is none of those, so a quadplex may not have one -- a rule about what is inside a dwelling unit, which no dimension this layer encodes can express and no lot can fail","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,"Governs whether a second, accessory kitchen may be added to a dwelling; the four unit kitchens in our pod are primary dwelling-unit kitchens, so no standard our pod must satisfy changes.",,False
00026,or/clackamas/_unincorporated/zdo.315.txt,1098,18,or/clackamas/_unincorporated,"note 18 keeps the base of a tower back from the property line by its own height. A setback, and a real one, but on towers: it marks the communication tower rows, and the Quadplexes cell carries 7 and 8","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,"A height-equals-setback rule for towers, a use row in the table that is not a dwelling.",,False
00027,or/clackamas/_unincorporated/zdo.315.txt,1100,19,or/clackamas/_unincorporated,"note 19 lets a use include concessions and restrooms. a condition on a use this screen does not place. It governs here only because the quadplex permission is quoted from a line in this block's region, and the Quadplexes cell carries notes 7 and 8 and nothing else","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,Describes what a park or recreation use may contain; moves no standard for a residential building.,,False
00028,or/clackamas/_unincorporated/zdo.315.txt,1102,20,or/clackamas/_unincorporated,"note 20 holds a principal building, swimming pool or use 45 feet off any other lot in a residential district. The largest setback in the chapter and it does not touch this building: it marks the rows for uses this screen does not place, and the Quadplexes cell carries 7 and 8. Worth writing down rather than waving off, because a 45 foot standby setback read onto a quadplex would fail nearly every lot in the county","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,inferred,"Broad-sounding, but it is a footnote hung on an unseen recreation or institutional use row (it pairs with note 21, the same rule at 30 feet), and a 45-foot separation from every residential lot cannot be the rule for a dwelling on a 5,000 sq ft R-5 lot; the footnoted use row is not visible in the passage.",,False
00029,or/clackamas/_unincorporated/zdo.315.txt,1104,21,or/clackamas/_unincorporated,"note 21 is note 20 at 30 feet. Same rows, same reason","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,inferred,"The 30-foot twin of note 20: a separation standard for an unseen non-residential use row, not for a dwelling built on a standard residential lot.",,False
00030,or/clackamas/_unincorporated/zdo.315.txt,1106,22,or/clackamas/_unincorporated,"note 22 permits recyclable drop-off sites only as accessory to an institutional use. a condition on a use this screen does not place. It governs here only because the quadplex permission is quoted from a line in this block's region, and the Quadplexes cell carries notes 7 and 8 and nothing else","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,"Conditions a recycling drop-off use, not a dwelling.",,False
00031,or/clackamas/_unincorporated/zdo.315.txt,1108,23,or/clackamas/_unincorporated,"note 23 conditions a use on sitting inside a planned unit development of at least 100 dwelling units. a condition on a use this screen does not place. It governs here only because the quadplex permission is quoted from a line in this block's region, and the Quadplexes cell carries notes 7 and 8 and nothing else","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,"Approval criteria for a commercial or service use serving residents inside a large PUD; our pod is the dwelling, not that use.",,False
00032,or/clackamas/_unincorporated/zdo.315.txt,1120,24,or/clackamas/_unincorporated,"note 24 permits only commercial schools, and exempts them from Section 805. Not the use being placed","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,Narrows a school use listing; nothing in it touches a four-unit townhome.,,False
00033,or/clackamas/_unincorporated/zdo.315.txt,1122,25,or/clackamas/_unincorporated,"note 25 prohibits a use in a recreational vehicle established as a second dwelling under Section 847, and in the primary dwelling on the same lot as one. The pod is neither an RV nor a lot carrying one","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,inferred,Bars an unseen accessory use on a lot that already holds an RV second dwelling; our lot has no RV second dwelling and that use is not part of our pod.,,False
00034,or/clackamas/_unincorporated/zdo.315.txt,1124,26,or/clackamas/_unincorporated,note 26 makes temporary signs regulated under Subsection 1010.13(A) a primary use. Signage is not a standard this screen reads,"['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,"Classifies temporary signage, which a dimensional screen does not hold at all.",,False
00035,or/clackamas/_unincorporated/zdo.315.txt,1126,27,or/clackamas/_unincorporated,"note 27 makes stormwater management facilities a primary use when they are underground, vegetated, or approved alongside another land use permit. It classifies a facility, and imposes nothing on a dwelling","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,"Sets when a stormwater facility is a primary rather than conditional use; it is a separate use listing, not a standard our building must meet.",,False
00036,or/clackamas/_unincorporated/zdo.315.txt,1134,28,or/clackamas/_unincorporated,note 28 makes a utility cabinet a primary use where it complies with Section 830 or sits inside a road right-of-way. Not the use being placed,"['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,"A utility-cabinet use listing, not a dwelling standard.",,False
00037,or/clackamas/_unincorporated/zdo.315.txt,1136,29,or/clackamas/_unincorporated,"note 29 excludes shops, garages and administrative offices from the utility facility category. Not the use being placed","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,Limits what a utility facility use may contain; not our building type.,,False
00038,or/clackamas/_unincorporated/zdo.315.txt,1138,30,or/clackamas/_unincorporated,note 30 makes gas and electric transmission lines a conditional use. Not the use being placed,"['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5', 'VR45', 'VR57']",['quadplex_allowed'],9,agree,not_ours,,clear,"A utility-line use listing, not a dwelling standard.",,False
00039,or/clackamas/_unincorporated/zdo.315.txt,1249,1,or/clackamas/_unincorporated,"note 1 sends minimum lot size to Sections 1012 and 1107. This layer does not read its minimum lot size from Table 315-2 at all -- Section 845.01 sets 7,000 square feet for a quadplex in every district, which is the figure encoded and the one this note does not touch","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5']","['max_coverage_pct', 'max_height_ft', 'setback_front_ft', 'setback_garage_entrance_ft', 'setback_rear_ft', 'setback_side_ft']",42,disagree,reaches,looser,inferred,"Footnote 1 on the minimum lot size row lets an undersized existing lot of record be built on despite the table minimum, which is a relaxation, but its tail clause keeping Section 800 minimum lot sizes matters to us because Section 845 (triplexes, quadplexes, townhouses, cottage clusters) sits in that 800 series, so a minimum lot size may still bind our pod and should be checked.",,False
00040,or/clackamas/_unincorporated/zdo.315.txt,1251,2,or/clackamas/_unincorporated,"note 2 removes the minimum lot size inside a planned unit development. A PUD is a different application with its own approval, not a standard a by-right lot is measured against, and it is looser than what is encoded either way","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5']","['max_coverage_pct', 'max_height_ft', 'setback_front_ft', 'setback_garage_entrance_ft', 'setback_rear_ft', 'setback_side_ft']",42,disagree,reaches,looser,inferred,"Removes the minimum lot size for any development inside a PUD, ours included, while keeping the density land-area standard; it only relaxes, and only where the site is a PUD, which a single-lot pod placement is not.",,False
00041,or/clackamas/_unincorporated/zdo.315.txt,1253,3,or/clackamas/_unincorporated,"note 2 is the townhouse one-third DLA again, carried by this layer's `unless: [unit_lots]` lever rather than as a standard on the parent lot","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5']","['max_coverage_pct', 'max_height_ft', 'setback_front_ft', 'setback_garage_entrance_ft', 'setback_rear_ft', 'setback_side_ft']",42,narrower,some_zones,looser,inferred,"The mark [3] is printed only on the R-5 minimum lot size cell (L1153), so it reaches only that zone; for a four-unit attached townhome it removes the minimum lot size and cuts the density land area to one third, a relaxation, though whether the county reads our one-lot pod as a townhouse or a quadplex decides if the relief is available.",R5,False
00042,or/clackamas/_unincorporated/zdo.315.txt,1255,4,or/clackamas/_unincorporated,"note 4 is note 3 at one-quarter of the DLA. Same path, same lever, same reason","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5']","['max_coverage_pct', 'max_height_ft', 'setback_front_ft', 'setback_garage_entrance_ft', 'setback_rear_ft', 'setback_side_ft']",42,narrower,some_zones,looser,inferred,"The twin of note 3: its mark [4] is printed on the R-7 through R-30 minimum lot size cells (L1154-L1159) and not on R-5, and it removes the minimum lot size and cuts the density land area to one quarter for townhouse development, a relaxation subject to the same townhouse-versus-quadplex reading.","R7,R8.5,R10,R15,R20,R30",False
00043,or/clackamas/_unincorporated/zdo.315.txt,1257,5,or/clackamas/_unincorporated,"note 5 raises maximum lot coverage to 65 percent in a planned unit development. Looser than the encoded 50, and a PUD is a different application rather than a by-right standard","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5']","['max_coverage_pct', 'max_height_ft', 'setback_front_ft', 'setback_garage_entrance_ft', 'setback_rear_ft', 'setback_side_ft']",42,disagree,reaches,looser,inferred,"Raises the 50 percent table lot coverage to 65 percent for any development in a PUD, ours included; it only relaxes, and only where the site is a PUD.",,False
00044,or/clackamas/_unincorporated/zdo.315.txt,1259,6,or/clackamas/_unincorporated,note 8 calculates coverage on the parent lot for a middle housing lot. The percentage is unchanged and this layer screens the parent lot,"['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5']","['max_coverage_pct', 'max_height_ft', 'setback_front_ft', 'setback_garage_entrance_ft', 'setback_rear_ft', 'setback_side_ft']",42,agree,not_ours,,clear,"Only bites once a middle housing land division has created unit lots; all four of our units stay on one undivided lot, so there is no parent lot and no middle housing lot.",,False
00045,or/clackamas/_unincorporated/zdo.315.txt,1261,7,or/clackamas/_unincorporated,note 7 gives a swimming pool accessory to a dwelling its own setbacks. A different structure,"['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5']","['max_coverage_pct', 'max_height_ft', 'setback_front_ft', 'setback_garage_entrance_ft', 'setback_rear_ft', 'setback_side_ft']",42,agree,not_ours,,clear,"Setbacks for an accessory swimming pool; our pod has none, and the note does not touch the principal building's setbacks.",,False
00046,or/clackamas/_unincorporated/zdo.315.txt,1263,8,or/clackamas/_unincorporated,"note 8 removes minimum rear and side setbacks inside a planned unit development or a zero-lot-line development, and names detached single-family dwellings, manufactured homes, prefabricated structures and single room occupancies. Four attached dwellings are none of those, and both regimes are looser than the encoded 5 and 20","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5']","['max_coverage_pct', 'max_height_ft', 'setback_front_ft', 'setback_garage_entrance_ft', 'setback_rear_ft', 'setback_side_ft']",42,disagree,reaches,looser,inferred,"The PUD half removes interior rear and side setbacks for any development including ours and expressly supersedes the table, a relaxation; the zero-lot-line half names only detached single-family dwellings, manufactured homes, prefabricated structures and single room occupancies, so that half does not reach a four-unit attached building.",,False
00047,or/clackamas/_unincorporated/zdo.315.txt,1265,9,or/clackamas/_unincorporated,"note 9 keeps measuring setbacks from the parent lot's lines on a middle housing lot, except for townhouses. A measurement rule for a split plat; this layer screens the parent lot","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5']","['max_coverage_pct', 'max_height_ft', 'setback_front_ft', 'setback_garage_entrance_ft', 'setback_rear_ft', 'setback_side_ft']",42,agree,not_ours,,clear,"It only says where to measure setbacks from on lots created by a middle housing land division; we are not dividing, so there is no middle housing lot and no parent lot.",,False
00048,or/clackamas/_unincorporated/zdo.315.txt,1267,10,or/clackamas/_unincorporated,"note 10 opens a list of exceptions for a lot of record of 6,000 square feet or less created before the district applied -- rear 10 and side 5 in total. The relief names detached single-family dwellings, duplexes, manufactured homes, prefabricated structures and single room occupancies; a quadplex is not among them, so it cannot take the relief, and the relief is looser than what is encoded","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5']","['max_coverage_pct', 'max_height_ft', 'setback_front_ft', 'setback_garage_entrance_ft', 'setback_rear_ft', 'setback_side_ft']",42,agree,not_ours,,inferred,"The small-lot setback relief is granted to a closed list of dwelling types that excludes townhouses, triplexes and quadplexes, so our pod keeps the full table setbacks; our building is factory-built but is a quadplex or townhouse use, not the single-dwelling 'prefabricated structure' type the list means, and either way the note only relaxes.",,False
00049,or/clackamas/_unincorporated/zdo.315.txt,1273,11,or/clackamas/_unincorporated,"note 11 sets an accessory building's minimum rear and side setbacks on a grid of building area against building height, from none at all under 100 square feet and 8 feet tall to 5 feet side and 10 feet rear over 500 square feet. A four-unit attached dwelling is the primary building on the lot and is measured against the district's own setbacks, which are what is encoded. Read, and it stays read: the table is the one this note is attached to, so a future accessory structure on the same lot has somewhere to look","['R10', 'R15', 'R20', 'R30', 'R5', 'R7', 'R8.5']","['max_coverage_pct', 'max_height_ft', 'setback_front_ft', 'setback_garage_entrance_ft', 'setback_rear_ft', 'setback_side_ft']",42,agree,not_ours,,clear,Sets rear and side setbacks for accessory buildings behind the main building line; our pod is the main building and the parking court behind it is not a building.,,False
