layer,quote,verdict,bites,contradicted,over,permitting,reason
or/clackamas/happy-valley,or/clackamas/happy-valley/16.22.residential.txt#L1021,unverifiable,False,,"MURA,SFA,VTH","MURA,SFA,VTH","""Side yard building setbacks for attached single-family (townhouse) may be reduced to zero in compliance with applicable sections of the adopted Uniform Building Code."" The same sentence as the encoded zero-side note, reprinted for Table 16.22.050-2 with ""attached single-family (townhouse)"" in place of ""townhomes"". Scoped to districts this layer does not encode; it becomes an encoding, not a dismissal, on the day they are."
or/clackamas/happy-valley,or/clackamas/happy-valley/16.22.residential.txt#L1027,contradicted,True,"SFA,VTH","MURA,SFA,VTH","MURA,SFA,VTH","The per-lot townhouse sizes for SFA, VTH and MUR-A -- 2,000 minimum and 3,000 maximum, or 2,000 with a 2,500 average; 1,500 and no maximum in MUR-A -- together with the sentence that lots for two- and three-family and multifamily dwellings are not subject to lot size standards at all. A quadplex is on none of those lists: this code's multifamily row begins at five units. Scoped to districts this layer does not encode, and the first note to read when it does."
or/clackamas/happy-valley,or/clackamas/happy-valley/16.22.residential.txt#L1031,contradicted,True,VTH,"MURA,SFA,VTH","MURA,SFA,VTH","""On a corner lot, one of the required front yard building setbacks may be reduced to eight feet when abutting a local or connector street."" A loosening on a corner lot, in a district this layer does not encode. It would be a `corner_lot` variant on the day VTH is."
or/clackamas/happy-valley,or/clackamas/happy-valley/16.22.residential.txt#L1318,unverifiable,False,,MURM,,"""Density calculations shall be made pursuant to Section 16.63.020.F."" Scoped to Table 16.22.060-2, the MUR-M districts, which this layer does not encode. Note the citation's punctuation -- ""16.63.020.F"" where every other note in the chapter writes ""16.63.020(F)""."
or/clackamas/happy-valley,or/clackamas/happy-valley/16.22.residential.txt#L1319,unverifiable,False,,MURM,,"""Standards are flexible and shall be determined through the master plan process or design review application."" The MUR-M table's version of the amendment path, and the reason most of that table's cells read ""Variable"". States no dimension, in districts this layer does not encode."
or/clackamas/lake-oswego,or/clackamas/lake-oswego/50.04.dimensional.txt#L241,contradicted,True,R-7.5,"R-10,R-15,R-7.5","R-10,R-15,R-7.5","a foot of extra height for every five extra feet of setback on all sides. A relaxation of a standard this layer does not encode for R-7.5, and one bought with yard the pod is trying to fit inside"
or/clackamas/lake-oswego,or/clackamas/lake-oswego/50.04.dimensional.txt#L247,unverifiable,False,,"R-10,R-15,R-7.5","R-10,R-15,R-7.5","cottage cluster floor area. A different housing type, and a floor-area standard this layer does not encode"
or/clackamas/lake-oswego,or/clackamas/lake-oswego/50.04.dimensional.txt#L249,unverifiable,False,,"R-10,R-15,R-7.5","R-10,R-15,R-7.5","townhouse maximum floor area applies to the project rather than to each lot. It says at what scale a standard is measured, and the standard -- maximum floor area -- is not encoded here; the formula cap it belongs to does not bind a building of about a thousand square feet per unit"
or/clackamas/lake-oswego,or/clackamas/lake-oswego/50.04.dimensional.txt#L614,unverifiable,False,,"R-10,R-15,R-5,R-6,R-7.5,R-DD","R-10,R-15,R-5,R-6,R-7.5,R-DD","cottage cluster floor area. A different housing type, and a floor-area standard this layer does not encode"
or/clackamas/lake-oswego,or/clackamas/lake-oswego/50.04.dimensional.txt#L1462,unverifiable,False,,"R-0,R-2,R-3,R-5,R-6,R-DD,R-W","R-0,R-2,R-3,R-5,R-6,R-DD,R-W","cottage cluster floor area. A different housing type, and a floor-area standard this layer does not encode"
or/clackamas/lake-oswego,or/clackamas/lake-oswego/50.04.dimensional.txt#L1898,unverifiable,False,,,,"note 4 excepts interior lot lines on a unified site from the FMU side and rear setbacks. A relief, on a zone this layer does not hold, turning on whether the site is unified -- which is a fact about ownership rather than about the lot"
or/clackamas/lake-oswego,or/clackamas/lake-oswego/50.04.dimensional.txt#L1928,unverifiable,False,,,,"note 14 is the Oswego Pointe Setback: an FMU structure must stand 85 ft from the habitable structures that existed on 17 January 2013, and ten feet from the nonhabitable ones. A setback measured from another building rather than from a lot line, on a zone this layer does not hold, needing a survey of what stood where thirteen years ago"
or/clackamas/lake-oswego,or/clackamas/lake-oswego/50.04.dimensional.txt#L1935,unverifiable,False,,,,"note 15 limits the FMU minimum floor area ratio to sites abutting a primary street. It scopes a minimum FAR, which is a density floor on a zone this layer does not encode"
or/clackamas/lake-oswego,or/clackamas/lake-oswego/50.04.dimensional.txt#L1947,unverifiable,False,,,,"note 17 defines ""floor area"" for the FMU -- above-ground structured parking counts in, floors four feet or more below the adjacent right-of-way count out. A definition attached to a ratio in a zone this layer does not hold"
or/clackamas/lake-oswego,or/clackamas/lake-oswego/50.04.dimensional.txt#L1953,contradicted,False,R-0,,,"note 19 stamps the NC, GC and HC column heads with ""site-specific dimensional standards, see LOC 50.02.002.2.c"" -- the same list of named properties carrying conditions from past approvals that is already unmeasured on R-0's column in this table and on the use table's R-0 and NC columns. It is dismissed rather than unmeasured for one reason only: it caps three columns this layer does not encode, so there is no value for the cap to sit on. NC is the first of the three to be encoded and this note becomes unmeasured, fact site_specific_limitation, on the day it is"
or/clackamas/lake-oswego,or/clackamas/lake-oswego/50.04.dimensional.txt#L2106,contradicted,False,"R-6,R-7.5",,,"note 2 says the distance measured in the EC height table is exclusive of any intervening public right-of-way. It is a measurement rule on a proximity test -- 120 and 240 feet from a lot zoned R-6 or R-7.5 -- and it makes the test reach FURTHER, since a street between the two no longer counts towards the distance. Real, and on the EC zone, which this layer does not hold. The captured text runs on into the CR&D height measurement printed below it, which is a separate standard and is ruled under note 11 of Table 50.04.001-14"
or/clackamas/milwaukie,or/clackamas/milwaukie/19.300.base-zones.txt#L927,unverifiable,False,,R-HD,R-HD,"note 4 exempts one address, 4320 SE King Rd, from the 10,000 sq ft nonresidential cap of note 3. A single named lot, a nonresidential use, and a zone this layer does not encode"
or/clackamas/wilsonville,or/clackamas/wilsonville/4.planning.txt#L5290,unverifiable,False,,"(defaults),OTR,PDR1,PDR2,PDR3,PDR4,PDR5,PDR6,R,TC,V","(defaults),OTR,PDR1,PDR2,PDR3,PDR4,PDR5,PDR6,R,V","a higher off-street parking minimum for court facilities, in the Village Zone's Table V-2. Not a use this screen places, not a zone this layer holds, and the values the block's region reaches are setbacks and lot dimensions read from Sections 4.113, 4.122 and 4.123, printed pages earlier under different tables"
or/multnomah/_unincorporated,or/multnomah/portland/33.110.txt#L2001,unverifiable,False,,"R10,R2.5,R20,R5,R7,RF","R10,R2.5,R20,R5,R7","campus-type developments are treated as one site, and the table's setbacks supersede Table 110-4's only at the campus perimeter. An institutional standard, on a table this layer does not encode"
or/multnomah/_unincorporated,or/multnomah/portland/33.130.txt#L742,unverifiable,False,,,,"the larger overall maximum in Table 130-3 is reachable only through the Planned Development bonus and its review. Same table, same reason: a bonus nobody is entitled to, over a figure this layer does not encode"
or/multnomah/_unincorporated,or/multnomah/portland/33.140.txt#L1196,unverifiable,False,,,,"a reading instruction for the screening table -- setback first, then landscaping standard. It tells a reader how to parse a cell, and the cell is in 33.140.235 Screening, which this layer does not encode"
or/multnomah/_unincorporated,or/multnomah/portland/33.140.txt#L1200,unverifiable,False,,,,where the F2 + L2 option is used the fence goes on the interior side of the landscaped area. A construction detail inside a standard this layer does not encode
or/multnomah/gresham,or/multnomah/gresham/4.0400.corridor.txt#L219,unverifiable,False,,"CC,CMF,CMU,MC,RTC,SC,SC-RJ","CMF,CMU,SC,SC-RJ",requires ground-floor non-residential frontage inside the Rockwood Town Center Mixed-Use Area; it marks a cell in a district this layer does not encode
or/multnomah/gresham,or/multnomah/gresham/4.0400.corridor.txt#L232,repaired,False,"CC,MC","CC,CMF,CMU,MC,RTC,SC,SC-RJ","CMF,CMU,SC,SC-RJ","requires commercial ground floors on arterials and boulevards in the CC and MC districts, and it marks the Multi-family and Residential Facility cells in those two columns -- neither of which is the use this screens. Both districts read NP for Quadplex regardless. This used to be dismissed on the grounds that CC and MC were not encoded here, which stopped being true when both were encoded on 2026-08-21 and nobody came back to the sentence."
or/multnomah/gresham,or/multnomah/gresham/4.0400.corridor.txt#L236,unverifiable,False,,"CC,CMF,CMU,MC,RTC,SC,SC-RJ","CMF,CMU,SC,SC-RJ","caps building footprint and commercial floor area in Community Commercial, a district this layer does not encode"
or/multnomah/gresham,or/multnomah/gresham/4.0400.corridor.txt#L239,unverifiable,False,,"CC,CMF,CMU,MC,RTC,SC,SC-RJ","CMF,CMU,SC,SC-RJ","the same caps for Moderate Commercial, also not encoded here"
or/multnomah/gresham,or/multnomah/gresham/4.0400.corridor.txt#L272,unverifiable,False,,"CC,CMF,CMU,MC,RTC,SC,SC-RJ","CMF,CMU,SC,SC-RJ",points at Section 10.0900 from a cell in a row this layer does not encode
or/multnomah/gresham,or/multnomah/gresham/4.1400.pleasant-valley.txt#L696,unverifiable,False,,,,"note 4 has a use permitted in ME-PV counted as an office use for screening and buffering. No screening field exists in this system, and ME-PV is not a district this layer holds"
or/multnomah/gresham,or/multnomah/gresham/4.1500.springwater.txt#L668,contradicted,False,NC,,,"note 1 of Table 4.1521 gives NC-SW the NC District's development standards from Table 4.0230 -- an incorporation, and the shape this system encodes with a `like:` clause. It is not made because there is nothing to make it for: NC-SW is not a column of this table, is not a zone this layer holds, and appears in no zone_missing row, so no observed lot claims it. NC itself is held, and its quadplex row reads NP"
or/multnomah/portland,or/multnomah/portland/33.110.txt#L2001,unverifiable,False,,"R10,R2.5,R20,R5,R7,RF","R10,R2.5,R20,R5,R7","campus-type developments are treated as one site, and the table's setbacks supersede Table 110-4's only at the campus perimeter. An institutional standard, on a table this layer does not encode"
or/multnomah/portland,or/multnomah/portland/33.130.txt#L742,unverifiable,False,,,,"the larger overall maximum in Table 130-3 is reachable only through the Planned Development bonus and its review. Same table, same reason: a bonus nobody is entitled to, over a figure this layer does not encode"
or/multnomah/portland,or/multnomah/portland/33.140.txt#L1196,unverifiable,False,,,,"a reading instruction for the screening table -- setback first, then landscaping standard. It tells a reader how to parse a cell, and the cell is in 33.140.235 Screening, which this layer does not encode"
or/multnomah/portland,or/multnomah/portland/33.140.txt#L1200,unverifiable,False,,,,where the F2 + L2 option is used the fence goes on the interior side of the landscaped area. A construction detail inside a standard this layer does not encode
or/multnomah/troutdale,or/multnomah/troutdale/3.zoning-districts.txt#L317,unverifiable,False,,"HDR,LDR-1,LDR-2,MDR","LDR-1,LDR-2,MDR","note 4 of the duplex table, resolving the same ""15 or 20"" cell for the MDR (TC) column where the driveway comes off a side yard. Same table and the same scope as note 3, and MDR (TC) is a Town Center district this layer does not encode either way"
or/multnomah/troutdale,or/multnomah/troutdale/3.zoning-districts.txt#L340,unverifiable,False,,"LDR-1,LDR-2,MDR","LDR-1,LDR-2,MDR","attaches to HDR (TC) in 3.130.B, which is not encoded here; the four encoded columns print a bare 10 street side yard with no marker"
or/multnomah/troutdale,or/multnomah/troutdale/3.zoning-districts.txt#L370,unverifiable,False,,"HDR,LDR-1,LDR-2,MDR","LDR-1,LDR-2,MDR","attaches to the MDR (TC) and HDR (TC) columns of 3.130.C, neither of which is encoded here"
or/multnomah/troutdale,or/multnomah/troutdale/3.zoning-districts.txt#L927,contradicted,True,"CC,GC","CC,GC,MU-2,MU-3","MU-2,MU-3","note 1 of the commercial table 3.330.A, which sets the CC and GC side yard where they abut a residential district; no commercial zone is encoded here"
or/multnomah/troutdale,or/multnomah/troutdale/3.zoning-districts.txt#L929,unverifiable,False,,"CC,GC,MU-2,MU-3","MU-2,MU-3","note 2 of the commercial table 3.330.A, the same rule for the rear yard; no commercial zone is encoded here"
or/multnomah/troutdale,or/multnomah/troutdale/3.zoning-districts.txt#L931,unverifiable,False,,"CC,GC,MU-2,MU-3","MU-2,MU-3","note 3 of the commercial table 3.330.A; no commercial zone is encoded here, and the residential tables state no equivalent row"
